time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS
6259009204.68695927,7.75100297300184259e-08,6,3.15407279446932719e-07,1.85951078331294187e-07,6.59009858072767685e-08,1.2442825947367453e-07,0.803550337646153023,0.647837207277900173,6.20946489782691025,1.67451908806651895e-05
6259025414.36138248,8.12693551344455183e-08,12,2.07137963425269656e-07,1.23334190202435116e-07,4.35453541280939049e-08,8.22714282255887497e-08,0.803550376480871797,0.647193870408497074,6.20948099041812984,1.67451989392411247e-05
6259042216.21886253,8.54769969206637251e-08,6,2.1597081519140111e-07,1.29991354138095569e-07,4.57043096147025096e-08,8.64217432061664681e-08,0.803550416734217787,0.646505824621043668,6.20949767108508421,1.67452072940118371e-05
6259059456.68566608,9.01668082826071506e-08,6,3.58223347653739823e-07,2.18133928405191091e-07,7.63498300138110153e-08,1.44504218035912402e-07,0.803550458038253756,0.645773138002900482,6.20951478738912321,1.67452158688799103e-05
6259073101.49773121,9.41626441143965639e-08,12,2.06306797975104832e-07,1.26840121334487069e-07,4.42303193237680858e-08,8.37811102716301548e-08,0.80355049072787732,0.645170594255875085,6.20952833407989413,1.67452226568923333e-05
6259087182.38267136,9.86036408053070241e-08,6,1.81052947106517298e-07,1.12483579633553855e-07,3.90616418100009355e-08,7.40684957811765798e-08,0.803550524462147031,0.644524114606358278,6.20954231385172495,1.6745229663315346e-05
6259102072.15129566,1.03699471824177241e-07,6,2.92707103020192317e-07,1.8395647641222247e-07,6.35912496271817673e-08,1.20725141661282009e-07,0.803550560134213443,0.643808529952839215,6.20955709686801605,1.67452370739409057e-05
6259114290.30503082,1.08217104436316613e-07,12,2.00737457237590594e-07,1.27391583524067572e-07,4.38704009231294378e-08,8.33671505162669746e-08,0.803550589405709892,0.643192587389579851,6.2095692275619907,1.67452431562949611e-05
6259126902.13412189,1.1326930864359031e-07,6,2.10310490474070642e-07,1.34894563772000751e-07,4.62561870750999304e-08,8.80145892834249821e-08,0.803550619620286843,0.642323319814068761,6.20958174925286599,1.67452494360130057e-05
6259139776.81129932,1.1890981733887956e-07,6,3.3171596811654998e-07,2.15152826949936993e-07,7.34540463176447389e-08,1.39946079724673211e-07,0.803550650464512017,0.64136656212918397,6.20959453206924117,1.67452558481460509e-05
6259150176.13185024,1.23894739933100168e-07,12,1.99115907649448326e-07,1.30348160555597942e-07,4.43428783136745608e-08,8.45694304585364875e-08,0.803550675378407298,0.640577776345494176,6.20960485731352296,1.67452610286464921e-05
6259160872.54598808,1.29502620796154474e-07,6,1.78331274939226923e-07,1.17930193258515656e-07,3.99557840424780153e-08,7.63099636813535653e-08,0.803550701004011159,0.639747423218062439,6.209615477657497,1.67452663583305501e-05
6259172100.67193413,1.36023960058776928e-07,6,2.81210528113865393e-07,1.87985780817126989e-07,6.34253296549758261e-08,1.21298486255305704e-07,0.803550727903397544,0.638849497643812936,6.20962662607462867,1.67452719543194662e-05
6259181354.13538265,1.42033859503308755e-07,12,1.91958467841038764e-07,1.29480312681239098e-07,4.35419599542630209e-08,8.3351096247241685e-08,0.803550750072017483,0.638083991401962924,6.20963581396519704,1.67452765672760216e-05
6259190893.75286007,1.49157673080701722e-07,6,2.01357540110309704e-07,1.37165556908092141e-07,4.59533344709939229e-08,8.80816491966029957e-08,0.803550772926143297,0.637264598765230339,6.20964528610159761,1.67452813240117712e-05
6259200618.52100086,1.59601178581842031e-07,6,3.22448857880436395e-07,2.2189007584448689e-07,7.40680070332455642e-08,1.42126475588533197e-07,0.803550796223797548,0.63638985025881134,6.20965494221331404,1.67452861743263724e-05
6259208370.01243305,1.69094484723525089e-07,12,1.87326393416346302e-07,1.29970217459284331e-07,4.3262968207891106e-08,8.30784057104239082e-08,0.803550814794039558,0.635657094729489613,6.20966263908415605,1.6745290041422479e-05
6259216362.04291344,1.80229528960086701e-07,6,1.70753831765422399e-07,1.19538562502471983e-07,3.96655877588081296e-08,7.62457884606604352e-08,0.803550833940514853,0.634860775120519527,6.20967057490378149,1.67452940294838318e-05
6259224743.32509136,1.93742753652226269e-07,6,2.88544241516483257e-07,2.03932846065139402e-07,6.7458729019476138e-08,1.29774749613176255e-07,0.803550854019490557,0.633970524821818815,6.20967889736061629,1.67452982129102168e-05
6259231368.363307,2.06095840726069148e-07,12,1.77514146342232741e-07,1.26501678744567186e-07,4.17459684043386403e-08,8.03406927651906244e-08,0.803550869891024866,0.633217360466108214,6.20968547599655984,1.67453015206027088e-05
6259238241.45957184,2.20857366418925298e-07,6,1.87690834489142114e-07,1.34876146076621776e-07,4.43955197604317675e-08,8.54886487156036878e-08,0.803550886356809935,0.632378902226001349,6.20969230105086645,1.67453049530236213e-05
6259245282.78892708,2.38559093390100738e-07,6,3.4235459456374027e-07,2.48230178325590416e-07,8.14891447653565137e-08,1.57001679212953604e-07,0.803550903225608071,0.631445331410163679,6.20969929327443815,1.67453084704623792e-05
6259250536.85385418,2.53912249687706772e-07,12,1.7063183337026316e-07,1.24576004107389939e-07,4.08165986842679018e-08,7.86617719850113417e-08,0.803550915812672129,0.630688092127274946,6.20970451077818719,1.6745311095801165e-05
6259256008.26319122,2.72322210580414361e-07,6,1.53743499372118262e-07,1.13089406716033497e-07,3.69778729580882981e-08,7.12795563684309741e-08,0.803550928920411578,0.629831950178893041,6.20970994419328903,1.67453138304423053e-05
