time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
3111756291.158144,9.29461494427049166e-10,3,0,0,0,0,0,0,0,0,0,0
3120116098.20447636,9.29461268832077105e-10,3,0,0,0,0,0,0,0,0,0,0
3128439600.57771158,9.29461206646665556e-10,3,0,0,0,0,0,0,0,0,0,0
3136743427.18441772,9.29461307984635605e-10,3,0,0,0,0,0,0,0,0,0,0
3145044076.83008528,9.29461572250659266e-10,3,0,0,0,0,0,0,0,0,0,0
3153358314.91082335,9.29461998385146814e-10,3,0,0,0,0,0,0,0,0,0,0
3161703527.39775801,9.29462585082811172e-10,3,0,0,0,0,0,0,0,0,0,0
3170098076.78949499,9.29463330990364592e-10,3,0,0,0,0,0,0,0,0,0,0
3178561729.96674919,9.29464234897156903e-10,3,0,0,0,0,0,0,0,0,0,0
3187116192.34977484,9.29465295929463177e-10,3,0,0,0,0,0,0,0,0,0,0
3195785797.14081383,9.29466513767296659e-10,3,0,0,0,0,0,0,0,0,0,0
3204598427.10282993,9.2946788890329138e-10,3,0,0,0,0,0,0,0,0,0,0
3213586791.34456062,9.294694229774423e-10,3,0,0,0,0,0,0,0,0,0,0
3222790261.97717333,9.29471119237246957e-10,3,0,0,0,0,0,0,0,0,0,0
3232257630.41858244,9.29472983213246716e-10,3,0,0,0,0,0,0,0,0,0,0
3242006224.34625149,9.29475014131752768e-10,3,0,0,0,0,0,0,0,0,0,0
3251765569.37349653,9.29477145839211727e-10,3,0,0,0,0,0,0,0,0,0,0
3261527625.84160995,9.29479362074893978e-10,3,0,0,0,0,0,0,0,0,0,0
3271287275.76831532,9.29481647409777992e-10,3,0,0,0,0,0,0,0,0,0,0
3281060611.37521458,9.29483992031564652e-10,3,0,0,0,0,0,0,0,0,0,0
3290881861.05045366,9.29486391577228504e-10,3,0,0,0,0,0,0,0,0,0,0
3300781520.80895567,9.29488841833375998e-10,3,0,0,0,0,0,0,0,0,0,0
3310788344.33066797,9.29491338903184084e-10,3,0,0,0,0,0,0,0,0,0,0
3320932311.81441212,9.29493879707137096e-10,3,0,0,0,0,0,0,0,0,0,0
3331245762.66770458,9.29496462063335444e-10,3,0,0,0,0,0,0,0,0,0,0
3341765434.23522997,9.29499084988580362e-10,3,0,0,0,0,0,0,0,0,0,0
3352534614.87213898,9.29501748986945478e-10,3,0,0,0,0,0,0,0,0,0,0
3363605751.0034647,9.29504456373270508e-10,3,0,0,0,0,0,0,0,0,0,0
3375044379.76223135,9.29507211791577883e-10,3,0,0,0,0,0,0,0,0,0,0
3386935424.52606583,9.29510023082195436e-10,3,0,0,0,0,0,0,0,0,0,0
3398497070.81682396,9.2951269803747177e-10,3,0,0,0,0,0,0,0,0,0,0
3409657863.69649458,9.29515220445840856e-10,3,0,0,0,0,0,0,0,0,0,0
3420563998.42566776,9.29517624518596992e-10,3,0,0,0,0,0,0,0,0,0,0
3431288850.73231697,9.29519926839839095e-10,3,0,0,0,0,0,0,0,0,0,0
3441905539.2655468,9.29522142980212148e-10,3,0,0,0,0,0,0,0,0,0,0
3452474106.41841078,9.295242846570786e-10,3,0,0,0,0,0,0,0,0,0,0
3463034150.87465048,9.29526358492285089e-10,3,0,0,0,0,0,0,0,0,0,0
3473617250.27345228,9.2952836881828799e-10,3,0,0,0,0,0,0,0,0,0,0
3484251295.24904108,9.29530318605205335e-10,3,0,0,0,0,0,0,0,0,0,0
3494962103.60580778,9.29532209776097011e-10,3,0,0,0,0,0,0,0,0,0,0
3505775064.34630251,9.29534043483471593e-10,3,0,0,0,0,0,0,0,0,0,0
3516715959.1313796,9.29535820202617652e-10,3,0,0,0,0,0,0,0,0,0,0
3527811586.09695864,9.29537539772975606e-10,3,0,0,0,0,0,0,0,0,0,0
3539090523.77762461,9.2953920144455589e-10,3,0,0,0,0,0,0,0,0,0,0
3550584043.82963848,9.29540803922919693e-10,3,0,0,0,0,0,0,0,0,0,0
3562327270.09280396,9.29542345417567887e-10,3,0,0,0,0,0,0,0,0,0,0
3574360722.44264793,9.29543823696818259e-10,3,0,0,0,0,0,0,0,0,0,0
3586732454.20375013,9.29545236152881564e-10,3,0,0,0,0,0,0,0,0,0,0
3599501152.28407192,9.29546579884442172e-10,3,0,0,0,0,0,0,0,0,0,0
3612740862.0868454,9.29547851805883237e-10,3,0,0,0,0,0,0,0,0,0,0
3626069049.06767511,9.295490093779153e-10,3,0,0,0,0,0,0,0,0,0,0
3639315212.10750437,9.29550040723856586e-10,3,0,0,0,0,0,0,0,0,0,0
3652535611.19443607,9.29550955795843263e-10,3,0,0,0,0,0,0,0,0,0,0
3665783935.11472511,9.29551763549589011e-10,3,0,0,0,0,0,0,0,0,0,0
3679113241.6302495,9.29552472343314686e-10,3,0,0,0,0,0,0,0,0,0,0
3692578444.02374792,9.2955309029937442e-10,3,0,0,0,0,0,0,0,0,0,0
3706228591.99928522,9.29553625236562569e-10,3,0,0,0,0,0,0,0,0,0,0
3720112936.81761885,9.29554085346010539e-10,3,0,0,0,0,0,0,0,0,0,0
3734286216.34432697,9.29554479645364367e-10,3,0,0,0,0,0,0,0,0,0,0
3748812298.61535358,9.29554818300590443e-10,3,0,0,0,0,0,0,0,0,0,0
